day,price,predicted_price,action,holding,steps_holding,portfolio_value,capital
299,40951.37890625,40556.53515625,SELL,False,0,12053.943327061912,12053.943327061912
300,41801.15625,40755.90234375,BUY,True,0,12053.943327061912,12053.943327061912
301,42190.65234375,41082.9375,SELL,False,0,12166.259929313183,12166.259929313183
302,41247.82421875,41501.93359375,BUY,True,0,12166.259929313183,12166.259929313183
303,41077.99609375,41873.96875,SELL,False,0,12116.168242025622,12116.168242025622
304,42358.80859375,42171.7421875,BUY,True,0,12116.168242025622,12116.168242025622
305,42892.95703125,42499.94921875,SELL,False,0,12268.954227982744,12268.954227982744
306,43960.93359375,42866.0078125,BUY,True,0,12268.954227982744,12268.954227982744
307,44348.73046875,43315.44921875,SELL,False,0,12377.183551615812,12377.183551615812
308,44500.828125,43816.90625,BUY,True,0,12377.183551615812,12377.183551615812
309,46820.4921875,44325.9765625,HOLD,True,1,13022.36048627874,12377.183551615812
310,47128.00390625,44988.4140625,SELL,False,0,13107.889883092445,13107.889883092445
311,47465.73046875,45725.83203125,BUY,True,0,13107.889883092445,13107.889883092445
312,47062.6640625,46482.44140625,SELL,False,0,12996.581155374093,12996.581155374093
313,45538.67578125,47158.04296875,BUY,True,0,12996.581155374093,12996.581155374093
314,46281.64453125,47599.7578125,SELL,False,0,13208.621876577006,13208.621876577006
315,45868.94921875,47909.36328125,BUY,True,0,13208.621876577006,13208.621876577006
316,46453.56640625,48069.93359375,SELL,False,0,13376.970781528134,13376.970781528134
317,46622.67578125,48164.28125,BUY,True,0,13376.970781528134,13376.970781528134
318,45555.9921875,48218.56640625,SELL,False,0,13070.918093053577,13070.918093053577
319,43206.73828125,48152.54296875,BUY,True,0,13070.918093053577,13070.918093053577
320,43503.84765625,47817.625,SELL,False,0,13160.799728645325,13160.799728645325
321,42287.6640625,47352.75390625,BUY,True,0,13160.799728645323,13160.799728645325
322,42782.13671875,46736.42578125,SELL,False,0,13314.689893648985,13314.689893648985
323,42207.671875,46106.921875,BUY,True,0,13314.689893648983,13314.689893648985
324,39521.90234375,45470.1484375,SELL,False,0,12467.446090666668,12467.446090666668
325,40127.18359375,44660.17578125,BUY,True,0,12467.446090666668,12467.446090666668
326,41166.73046875,43847.69140625,SELL,False,0,12790.431495124561,12790.431495124561
327,39935.515625,43199.7890625,BUY,True,0,12790.431495124561,12790.431495124561
328,40553.46484375,42597.6328125,SELL,False,0,12988.346484481546,12988.346484481546
329,40424.484375,42120.11328125,BUY,True,0,12988.346484481548,12988.346484481546
330,39716.953125,41753.20703125,SELL,False,0,12761.017400000223,12761.017400000223
331,40826.21484375,41435.25,BUY,True,0,12761.017400000223,12761.017400000223
332,41502.75,41260.37890625,SELL,False,0,12972.481454007173,12972.481454007173
333,41374.37890625,41247.71875,BUY,True,0,12972.481454007173,12972.481454007173
334,40527.36328125,41355.640625,SELL,False,0,12706.909020606681,12706.909020606681
335,39740.3203125,41462.0,BUY,True,0,12706.909020606681,12706.909020606681
336,39486.73046875,41494.890625,SELL,False,0,12625.82404072373,12625.82404072373
337,39469.29296875,41456.83984375,BUY,True,0,12625.82404072373,12625.82404072373
338,40458.30859375,41374.05078125,SELL,False,0,12942.2000463609,12942.2000463609
339,38117.4609375,41348.765625,BUY,True,0,12942.2000463609,12942.2000463609
340,39241.12109375,41176.234375,HOLD,True,1,13323.721642202705,12942.2000463609
341,39773.828125,41010.3515625,SELL,False,0,13504.594155611849,13504.594155611849
342,38609.82421875,40905.2578125,BUY,True,0,13504.594155611847,13504.594155611849
343,37714.875,40756.1328125,SELL,False,0,13191.56693433713,13191.56693433713
344,38469.09375,40517.796875,BUY,True,0,13191.56693433713,13191.56693433713
345,38529.328125,40299.40234375,SELL,False,0,13212.22210741514,13212.22210741514
346,37750.453125,40116.578125,BUY,True,0,13212.22210741514,13212.22210741514
347,39698.37109375,39909.83203125,HOLD,True,1,13893.970873845343,13212.22210741514
348,36575.140625,39860.37109375,SELL,False,0,12800.876321863821,12800.876321863821
